skill_id,name,type
1,Polski,Hard
2,Technika,Hard
3,Siedem,Hard
4,Śniadanie,Hard
5,Litera,Hard
6,Trudność,Soft
7,Epoka,Hard
8,Biuro,Hard
9,W formie,Soft
10,Norwegia,Soft
11,Wujek,Soft
12,Codzienny,Soft
13,Przedstawiciel,Soft
14,Własność,Hard
15,Nauczyciel,Soft
16,Lato,Hard
17,Republika,Soft
18,Symbol,Hard
19,Okręt,Soft
20,Odzież,Hard
21,Prosty,Hard
22,Plan,Hard
23,Naprawdę,Hard
24,Miłość,Hard
25,Poznać,Hard
26,Rada,Hard
27,Przez,Soft
28,Litwa,Hard
29,Główny,Hard
30,Ciekawy,Soft
31,Grzech,Soft
32,6,Soft
33,Bok,Soft
34,Jakby,Soft
35,Tak,Soft
36,Dorosły,Soft
37,Butelka,Hard
38,Organizować,Soft
39,2,Soft
40,Nasiono,Soft
41,Idea,Soft
42,Znaczyć,Hard
43,Wejść,Hard
44,Potrzeba,Hard
45,Tor,Soft
46,Posługiwać się,Soft
47,Telewizyjny,Hard
48,Dostać,Soft
49,Ludzki,Soft
50,Zdanie,Soft
51,Pieniądze,Soft
52,Polityka,Hard
53,Rola,Soft
54,Iść,Hard
55,Płaszcz,Hard
56,Zakończenie,Soft
57,Ameryka,Soft
58,Muzyka,Hard
59,Krowa,Hard
60,Wrogość,Hard
61,Płot,Hard
62,Siedziba,Soft
63,Związek,Hard
64,Północ,Hard
65,Fizyczny,Soft
66,Bez,Hard
67,Rodzic,Soft
68,Praca,Hard
69,Z,Hard
70,Ząb,Hard
71,Igła,Soft
72,Śmierć,Soft
73,Rozumieć,Soft
74,Nadawać,Hard
75,Gotowy,Soft
76,Działanie,Soft
77,Mieszkanka,Hard
78,Słońce,Soft
79,Kura,Hard
80,Kot,Hard
81,Góra,Soft
82,Drewno,Soft
83,Często,Hard
84,Przepis,Soft
85,Rozmiar,Soft
86,Pochodzić,Hard
87,Spadek,Soft
88,Analiza,Soft
89,Dziecko,Soft
90,Korona,Soft
91,Gdzie,Soft
92,Spacer,Soft
93,Dane,Hard
94,Bydło,Soft
95,Okolica,Hard
96,Łańcuch,Hard
97,Uśmiech,Soft
98,Lina,Hard
99,Bitwa,Soft
100,Aktywny,Hard
101,Patrzeć,Soft
102,Szczyt,Hard
103,Sklep,Soft
104,Bóg,Soft
105,Głos,Hard
106,Głupi,Hard
107,Kościół,Soft
108,Ulica,Soft
109,Urodzić się,Soft
110,Zasada,Soft
111,Rosnąć,Soft
112,Związać,Hard
113,Tyle,Soft
114,Drogi,Hard
115,Ósmy,Soft
116,Itp.,Hard
117,Lęk,Hard
118,Tutaj,Soft
119,Trochę,Soft
120,Widoczny,Soft
121,Zajmować,Soft
122,Partia,Hard
123,Metal,Hard
124,Móc,Soft
125,Udział,Hard
126,Gęsty,Hard
127,Krzesło,Soft
128,Wzgórze,Soft
129,Nieść,Soft
130,Pieśń,Hard
131,Kult,Soft
132,Szkoda,Hard
133,Przeciw,Soft
134,Olej,Soft
135,Ani,Soft
136,Piasek,Hard
137,Autor,Hard
138,Poczta,Soft
139,Rzucić,Soft
140,Pełnić,Hard
141,Bo,Soft
142,Przerwa,Hard
143,Siedemdziesiąt,Hard
144,Lista,Soft
145,Łąka,Soft
146,Konflikt,Soft
147,Zmarły,Hard
148,Kontakt,Soft
149,Ponieważ,Hard
150,Plus,Soft
151,Pies,Hard
152,Prezent,Soft
153,Szczególny,Soft
154,Prawy,Hard
155,Słoneczny,Hard
156,Obwód,Soft
157,Sprzęt,Soft
158,Osobisty,Hard
159,Być,Hard
160,Rozmawiać,Soft
161,Zamiast,Soft
162,Rower,Hard
163,Prostytutka,Soft
164,Rzym,Hard
165,Internetowy,Hard
166,Stary,Soft
167,Zamknąć,Hard
168,Silnik,Hard
169,Czechy,Hard
170,Sędzia,Soft
171,Płakać,Soft
172,Afryka,Hard
173,Grunt,Hard
174,Przyjść,Hard
175,Kawa,Soft
176,Krzyż,Soft
177,Działać,Hard
178,Pozycja,Soft
179,Rzeczywistość,Hard
180,Zakończyć,Soft
181,Zdolny,Hard
182,Zawodnik,Hard
183,Kontrola,Hard
184,Radio,Hard
185,90,Soft
186,Linia,Soft
187,Środek,Soft
188,Cześć,Soft
189,Radiowy,Soft
190,Przyjmować,Hard
191,Obraz,Hard
192,Sześćdziesiąt,Hard
193,1000,Soft
194,Długość,Soft
195,Uczeń,Soft
196,Słownik,Soft
197,Tekst,Soft
198,Dziura,Soft
199,30,Soft
200,Gdzieś,Hard
